Designator,Footprint,Quantity,Value,LCSC Part #
BOOT1,3x2.5PushButton,1,TD-1183SN-1.5H(3x2.5),C231329
"C1, C12, C13, C3",805,4,22uF(0805 35V 20%),
"C10, C16, C18, C19, C20, C33, C34, C37, C38, C39, C42, C48, C51, C7",201,14,100nF(0201 10V 10%),
C11,201,1,100nF(0201 16V 10%),
"C14, C15",402,2,1uF(0402 10V 10%),
"C17, C21",201,2,100nF(0201 25V 10%),
C2,603,1,10uF(0603 35V 20%),
C22,201,1,100nF(0201 10.0V 10%),
"C23, C24, C26",603,3,22uF(0603 16V),
"C27, C28, C50",402,3,2.2uF(0402 6.3V 10%),
C29,402,1,4.7uF(0402 10V),
C30,201,1,15pF(0201 10V),
C31,201,1,100nF(0201 6.3V),
C32,201,1,1uF(0201 6.3V),
"C35, C36",201,2,12.0pF(0201 10V),
"C4, C8",402,2,1uF(0402 35V 10%),
"C44, C47",201,2,100.0nF(0201 10V),
"C45, C49",201,2,100nF(0201 10V),
"C5, C6, C9",402,3,1uF(0402 16V 10%),
C52,201,1,10nF(0201 10V 10%),
D1,PESD12VV1BL_315,1,PESD12VV1BL,
"D10, D11, D13, D8, D9",201,5,LED_Blue(0201),
D12,201,1,LED_RED(0201),
D14,201,1,LED_Green(0201),
"D2, D4",PESD5V0F1BL,2,PESD5V0F1BL,
D3,D_SOD-123F,1, SMF30CA(30V),
"D5, D7",D_SOD-123F,2,DSS34(3A 500mV),
D6,D_SOD-523,1,BZX584C9V1,
J1,USB_C_Small,1,USB_C_Receptacle_USB2.0,C963412
"J10, J4, J6",01x10_MP_sh1.0_Hori ,3,ESC,
J24,TF-SMD_TF-021B-H265,1,Micro_SD_Card,C498185
"J8, USART_Combo1",01x10_MP_sh1.0_Hori,2,UART_Combo,
J9,01x04_MP_sh1.0_Hori,1,Upper computer connector,
"L1, L2",Inductor_0420,2,10uH(0420)(??? 78438357100),C2655439
Q1,SOT-23,1,AP40P05,
"Q2, Q3",SOT-23,2,SS8050(NPN BEC),
"R1, R2",201,2,5.1kR(0201),
"R10, R13",201,2,51kR(0201 25V),
"R11, R9",201,2,20R(0201 25V),
R12,201,1,7.68kR(0201 25V),
"R14, R18",201,2,41.2kR(0201 25V),
R15,201,1,200.0kR(0201 50V),
R16,201,1,22.0kR(0201 50V),
R17,201,1,3.54k-4.02kR(0201 25V),
"R19, R20, R21, R26, R30, R31, R37, R38, R39, R40, R41",201,11,10kR(0201),
R22,201,1,20kR(0201 9V),
"R23, R29",201,2,1kR(0201),
"R24, R25",201,2,4.7kR(0201 25V),
R28,201,1,100R(0201),
"R3, R8",201,2,100kR(0201 50V),
"R32, R33, R34",201,3,10.0kR(0201),
"R35, R36",201,2,4.7kR(0201),
"R4, R6",402,2,1MR(0402 50V),
"R5, R7",201,2,100kR(0201 25V),
"U1, U4",MP9943GQ-Z,2,MP9943GQ-Z,
U10,BMI088,1,BMI088,
U13,PQFN50P200X200X80-10N,1,BMP388,
U14,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,
"U2, U3",RT9013-33GB,2,RT9013-33GB,
U20,handsolder_connect,1,~,
U21,ICM-20649,1,~,
U22,ICM-42688-P,1,ICM-42688-P,
U9,STM32H743VIHBGA100C80P10X10_800X800X110N,1,STM32H743VIH6,
Y1,Oscillator_SMD_Abracon_ASDMB-4Pin_2.5x2.0mm,1,SG-210STF/ X1G004171002700,C255993
Y2,LSE(2012),1,ABS07 (32.768kHZ),
