Designator,Footprint,Quantity,Value,LCSC Part #
"BOOT1, RST1",3x2.5PushButton,2,TD-1183SN-1.5H(3x2.5),
C1,C_0805_2012Metric,1,22uF(0805 35V),
"C10, C16, C17, C19",C_0402_1005Metric,4,1uF(0402),
"C11, C12, C13, C14, C18, C20, C21, C22, C23, C24, C25, C28, C36, C39, C40, C42, C44, C46, C48, C49, C51, C6, C7, C8, C9",C_0402_1005Metric,25,100nF(0402),
"C15, C3, C41, C45",C_0402_1005Metric,4,10nF(0402),
"C2, C4",C_0603_1608Metric,2,10uF(0603 35V),
"C26, C27",C_0603_1608Metric,2,22uF(0603),
"C29, C30, C43",C_0402_1005Metric,3,2.2uF(0402),
C31,C_0402_1005Metric,1,4.7uF(0402),
C32,C_0402_1005Metric,1,15pF(0402),
C33,C_0402_1005Metric,1,1.0uF(0402),
C34,C_0201_0603Metric,1,100nF(0201),
C35,C_0201_0603Metric,1,1uF(0201),
"C37, C38",C_0201_0603Metric,2,12.0pF(0201),
"C47, C50",C_0402_1005Metric,2,100.0nF(0402),
C5,C_0402_1005Metric,1,1uF(0402 35V),
D1,PESD12VV1BL_315,1,PESD12VV1BL,
D10,LED_0201_0603Metric,1,LED_RED(0201),
D11,LED_0201_0603Metric,1,LED_BLUE(0201),
D12,LED_0201_0603Metric,1,LED_GREEN(0201),
"D2, D3",PESD5V0F1BL,2,PESD5V0F1BL,
D4,D_SOD-523,1,BZX584C9V1,
"D5, D6",D_SOD-123F,2,DSS34,
"D7, D8, D9",LED_0201_0603Metric,3,LED_G(0201),
J1,USB-C-16p,1,USB_C_Receptacle_USB2.0,
J10,JST_SH_SM08B-SRSS-TB_1x08-1MP_P1.00mm_Horizontal,1,ESC sh1.0 8pin,
J11,TF-SMD_TF-021B-H265,1,Micro_SD_Card,
J2,Conn_4Pin,1,Conn_01x04,
"J4, J5, J6",Conn_3pin,3,Conn_01x03,
J8,Conn_14pin,1,Conn_01x14,
J9,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,UART4(sh1.0 4pin),
L1,Inductor_0420,1,10uH(0420),
Q1,SOT-23,1,AP40P05,
"R1, R9",R_0402_1005Metric,2,33R(0402),
R10,R_0402_1005Metric,1,20R(0402),
R11,R_0402_1005Metric,1,51kR(0402),
R12,R_0402_1005Metric,1,7.68kR(0402),
R13,R_0402_1005Metric,1,41.2kR(0402),
R14,R_0201_0603Metric,1,200.0kR(0201),
R15,R_0201_0603Metric,1,22.0kR(0201),
"R16, R17, R18, R24, R26, R30, R31, R32, R33, R34",R_0201_0603Metric,10,10kR(0201),
"R19, R20, R27, R28",R_0201_0603Metric,4,4.7kR(0201),
"R2, R3",R_0201_0603Metric,2,5.1kR(0201),
"R21, R22, R23",R_0201_0603Metric,3,10.0kR(0201),
R25,R_0402_1005Metric,1,0.0R(0402),
"R29, R5, R6",R_0201_0603Metric,3,0R(0201),
R4,R_0201_0603Metric,1,100kR(0201),
R7,R_0201_0603Metric,1,1mR(0201),
R8,R_0402_1005Metric,1,100kR(0402),
"TP10, TP11, TP12, TP13, TP6, TP7, TP8, TP9",PWR_Circle,8,TestPoint,
"TP24, TP26, TP28",Conn_1pin,3,TestPoint,
TP25,Conn_1pin,1,5V_TP,
TP27,Conn_1pin,1,GND_TP,
"TP29, TP30, TP31, TP32",MiniTP,4,TestPoint,
TP5,MiniTP,1,24V_TP,
"U1, U2, U3",RT9013-33GB,3,RT9013-33GB,
U10,BMI088,1,BMI088,
U11,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,
U4,MP9943GQ-Z,1,MP9943GQ-Z,
U6,STM32H743VIHBGA100C80P10X10_800X800X110N,1,STM32H743VIH6,
U7,QFN-24-1EP_3x3mm_P0.4mm_EP1.75x1.6mm,1,MPU6500,
U8,LGA-16_3x3mm_P0.5mm_LayoutBorder3x5y,1,ICM-20602,
U9,PQFN50P200X200X80-10N,1,BMP388,
Y1,Oscillator_SMD_Abracon_ASDMB-4Pin_2.5x2.0mm,1,SG-210STF,
Y2,LSE(2012),1,ABS07 (32.768kHZ),
