Designator,Mid X,Mid Y,Rotation,Layer
BOOT1,16.160712,8.127254,90.0,top
C1,2.340712,19.597254,-90.0,top
C10,-4.429288,5.849158,-90.0,bottom
C11,-3.959288,20.257254,180.0,top
C12,-2.039288,11.997254,90.0,bottom
C13,1.190712,3.987254,-90.0,top
C14,-0.319288,15.777254,90.0,bottom
C15,3.890712,20.407254,90.0,top
C16,3.060712,13.907254,0.0,top
C17,4.240712,9.627254,-90.0,top
C18,3.060712,14.887254,0.0,top
C19,3.050712,5.547254,0.0,top
C2,2.370712,18.567254,0.0,bottom
C20,2.810712,9.177254,0.0,bottom
C21,3.070712,15.877254,0.0,top
C22,3.050712,6.537254,0.0,top
C23,4.240712,9.627254,-90.0,bottom
C24,3.060712,7.527254,0.0,top
C25,-3.959288,18.197254,0.0,top
C26,-3.299288,15.967254,0.0,bottom
C27,-3.299288,14.437254,0.0,bottom
C28,5.350712,21.427254,90.0,top
C29,4.930712,15.497254,-90.0,bottom
C3,2.890712,22.417254,90.0,bottom
C30,9.260712,16.727254,135.0,bottom
C31,13.260712,14.457254,90.0,bottom
C32,16.410712,13.187254,0.0,bottom
C33,15.610712,16.727254,0.0,top
C34,15.660712,21.357254,90.0,bottom
C35,16.420712,21.357254,90.0,bottom
C36,16.200712,14.177254,180.0,bottom
C37,15.141424,10.484508,-90.0,bottom
C38,16.781424,10.484508,-90.0,bottom
C39,12.360712,3.704508,90.0,bottom
C4,1.620712,20.837254,90.0,bottom
C40,6.680712,10.857254,-90.0,top
C41,18.130712,16.717254,0.0,top
C42,18.730712,15.307254,0.0,top
C43,20.620712,15.307254,180.0,top
C44,20.270712,16.717254,0.0,top
C45,19.390712,13.427254,0.0,bottom
C46,9.780712,7.037254,0.0,top
C47,20.528212,9.802754,180.0,bottom
C48,21.370712,13.747254,-90.0,bottom
C49,20.000712,19.327254,180.0,bottom
C5,2.880712,20.377254,-90.0,bottom
C50,20.598212,8.342754,-90.0,bottom
C51,11.720712,7.027254,0.0,top
C6,-3.439288,5.849158,-90.0,bottom
C7,-2.039288,10.117254,-90.0,bottom
C8,2.180712,3.987254,-90.0,top
C9,-1.299288,15.777254,90.0,bottom
D1,-2.136788,6.207254,180.0,bottom
D10,5.398212,17.827254,0.0,top
D11,5.395712,18.587254,0.0,top
D12,5.400712,19.347254,0.0,top
D2,2.910712,11.307254,180.0,top
D3,2.910712,9.367254,180.0,top
D4,1.650712,23.637254,90.0,bottom
D5,-2.716788,7.997254,180.0,bottom
D6,-3.709288,11.414754,90.0,bottom
D7,4.400712,14.147254,-90.0,top
D8,1.490712,8.602254,90.0,bottom
D9,2.118212,3.827254,0.0,bottom
H1,18.530712,23.937254,0.0,top
H2,18.530712,3.937254,0.0,top
H3,-1.469288,3.937254,0.0,top
H4,-1.469288,23.937254,0.0,top
J1,-2.709288,11.617254,-90.0,top
J10,11.000712,24.447254,180.0,top
J11,10.321424,4.064508,0.0,top
J2,0.170712,26.337254,0.0,bottom
J4,2.230712,26.357254,0.0,top
J5,1.861424,1.464508,180.0,top
J6,14.731424,1.444508,180.0,bottom
J8,12.290712,25.647254,180.0,bottom
J9,7.980712,3.387254,180.0,bottom
L1,-1.689288,19.137254,180.0,bottom
Q1,2.890712,23.097254,0.0,top
R1,3.880712,22.397254,-90.0,bottom
R10,-3.939288,19.257254,180.0,top
R11,-3.959288,22.507254,180.0,top
R12,-4.419288,22.977254,-90.0,bottom
R13,-4.039288,23.967254,90.0,top
R14,5.400712,20.107254,0.0,bottom
R15,5.400712,20.107254,180.0,top
R16,4.400712,15.607254,-90.0,top
R17,0.730712,8.597254,-90.0,bottom
R18,2.110712,3.057254,180.0,bottom
R19,8.641424,18.884508,180.0,bottom
R2,2.850712,8.397254,180.0,top
R20,8.641424,19.644508,180.0,bottom
R21,5.390712,17.817254,0.0,bottom
R22,5.390712,18.577254,0.0,bottom
R23,5.393212,19.337254,0.0,bottom
R24,15.410712,15.847254,180.0,top
R25,14.330712,20.037254,45.0,bottom
R26,16.461424,9.134508,180.0,bottom
R27,10.210712,10.407254,0.0,top
R28,9.540712,8.287254,90.0,top
R29,11.670712,10.407254,0.0,top
R3,2.850712,13.037254,180.0,top
R30,3.490712,11.797254,180.0,bottom
R31,3.490712,11.037254,180.0,bottom
R32,3.510712,12.557254,180.0,bottom
R33,2.860712,17.507254,180.0,top
R34,2.860712,16.747254,180.0,top
R4,3.130712,23.747254,0.0,bottom
R5,2.850712,12.277254,180.0,top
R6,2.850712,10.337254,180.0,top
R7,0.130712,21.807254,180.0,bottom
R8,-3.949288,21.247254,180.0,top
R9,3.890712,20.397254,90.0,bottom
RST1,15.760712,17.367254,-90.0,bottom
TP10,-1.919288,3.477254,180.0,top
TP11,18.973212,3.499754,-90.0,top
TP12,18.978212,24.397254,0.0,top
TP13,-1.931788,24.384754,90.0,top
TP14,1.760712,17.507254,180.0,top
TP15,3.260712,10.247254,180.0,bottom
TP16,3.280712,3.817254,90.0,bottom
TP17,5.360712,21.707254,90.0,bottom
TP18,5.080712,23.377254,180.0,bottom
TP24,-0.869288,26.647254,90.0,top
TP25,18.040712,26.667254,-90.0,bottom
TP26,0.190712,1.457254,0.0,bottom
TP27,18.040712,26.627254,90.0,top
TP28,21.260712,23.467254,180.0,top
TP29,4.800712,6.597254,0.0,top
TP30,5.730712,6.587254,0.0,top
TP31,6.680712,6.587254,0.0,top
TP32,7.670712,6.607254,0.0,top
TP5,0.450712,21.757254,-90.0,top
TP6,-1.929288,24.397254,180.0,bottom
TP7,18.970712,3.497254,0.0,bottom
TP8,18.990712,24.397254,90.0,bottom
TP9,-1.929288,3.477254,-90.0,bottom
U1,0.620712,11.197254,0.0,bottom
U10,19.438212,8.312754,-90.0,top
U11,9.930712,9.627254,180.0,bottom
U2,2.360712,6.037254,0.0,bottom
U3,2.300712,15.213054,0.0,bottom
U4,-0.807595,19.547254,0.0,top
U5,17.795712,1.417254,-90.0,top
U6,10.420712,16.029754,180.0,top
U7,19.260712,19.447254,0.0,top
U8,19.560712,12.957254,0.0,top
U9,11.160712,8.784754,0.0,top
Y1,16.190712,13.977254,180.0,top
Y2,15.861424,11.564508,180.0,top
